Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Year,Month,Day,Hour
2667.99,10,10,16,16,4,0,2023,4,2,13
13872.02,10,10,16,16,4,0,2023,1,28,14
2128.42,10,10,16,16,4,0,2023,7,3,23
478.72,10,10,16,16,4,0,2022,12,30,13
11932.97,10,10,16,16,0,0,2023,2,13,16
166.01,10,10,16,16,2,0,2022,11,22,10
282.29,10,10,16,16,2,0,2022,11,23,1
1155.58,10,10,16,16,0,0,2023,6,20,9
3655.23,10,10,16,16,4,0,2023,6,20,11
8050.0,10,10,16,16,3,0,2023,3,3,22
6187.71,10,1,16,15,5,0,2023,2,22,14
1175.02,10,10,16,16,3,0,2023,2,20,15
3051.05,10,10,16,16,3,0,2022,11,29,16
7518.59,10,10,16,16,3,0,2023,2,9,22
1439.53,10,10,16,16,3,0,2022,11,18,15
76.85,10,10,16,16,6,0,2023,2,2,0
14112.84,10,10,16,16,4,0,2022,10,28,2
5030.63,10,10,16,16,3,0,2023,7,31,5
7105.66,10,10,16,16,3,0,2023,4,21,20
19988.0,10,10,16,16,0,0,2023,8,23,9
5364.46,10,10,16,16,6,0,2022,10,31,6
8732.25,10,10,16,16,6,0,2022,10,11,14
10239.88,10,10,16,16,6,0,2023,7,3,15
252.58,10,10,16,16,1,0,2023,1,2,7
1083.4,10,10,16,16,6,0,2023,3,13,13
5566.65,10,1,16,15,5,0,2023,1,12,15
151.15,10,10,16,16,2,0,2023,3,4,17
10388.36,10,10,16,16,0,0,2023,2,22,22
4841.38,10,10,16,16,0,0,2022,12,28,20
639.79,10,10,16,16,3,0,2023,1,12,20
3706.8,10,10,16,16,0,0,2023,3,7,12
7251.14,10,10,16,16,4,0,2023,8,5,14
9444.64,10,10,16,16,0,0,2022,10,10,11
1175.53,10,10,16,16,0,0,2023,7,10,19
15307.18,10,5,16,8,5,0,2023,1,5,15
942.75,10,10,16,16,3,0,2023,2,4,14
12473.95,10,8,16,13,5,0,2023,4,8,10
10330.67,10,10,16,16,3,0,2023,6,16,17
8787.5,10,10,16,16,0,0,2023,8,20,0
20923.36,10,10,16,16,4,0,2023,1,22,18
14625.1,10,10,16,16,0,0,2022,10,26,19
2748.96,10,10,16,16,0,0,2023,6,19,10
3603.44,10,10,16,16,0,0,2022,11,20,11
11145.04,10,10,16,16,3,0,2022,12,3,18
9588.6,10,10,16,16,3,0,2023,8,17,13
223.13,10,10,16,16,2,0,2023,7,29,22
4544.33,10,10,16,16,3,0,2023,7,7,19
97.73,10,10,16,16,2,0,2023,6,20,9
569.43,10,10,16,16,3,0,2023,3,31,9
6519.66,10,10,16,16,3,0,2023,6,24,17
10460.13,10,10,16,16,6,0,2023,6,14,17
2178.77,10,10,16,16,0,0,2023,2,20,10
7989.27,10,10,16,16,4,0,2023,3,19,15
8527.47,2,10,9,16,5,1,2022,11,27,21
471.24,10,10,16,16,0,0,2023,7,2,13
7725.73,6,10,10,16,5,0,2023,5,10,16
5454.79,1,10,16,16,3,0,2023,4,1,20
753.83,10,10,16,16,0,0,2023,1,14,5
7490.94,10,10,16,16,3,0,2022,12,5,16
7228.16,10,10,16,16,4,0,2023,2,9,22
9546.75,10,10,16,16,6,0,2023,4,4,7
10884.68,10,10,16,16,3,0,2023,3,10,23
143.21,10,10,16,16,2,0,2023,3,3,16
22871.03,10,10,16,16,0,0,2023,5,1,17
337.58,10,10,16,16,1,0,2023,4,13,16
4165.58,10,10,16,16,3,0,2023,7,6,23
4960.4,10,10,16,16,3,0,2022,12,15,22
4107.69,10,10,16,16,6,0,2023,7,24,7
3649.18,10,10,16,16,6,0,2023,3,15,23
13417.84,10,5,16,8,5,0,2023,2,3,7
3880.94,10,10,16,16,6,0,2022,12,6,23
9175.98,1,12,15,6,5,0,2023,7,2,10
5913.46,10,10,16,16,6,0,2023,5,21,15
1920.8,10,10,16,16,6,0,2022,10,10,18
6043.41,10,10,16,16,0,0,2023,4,9,10
4930.52,10,10,16,16,6,0,2023,1,13,12
16661.24,10,10,16,16,3,0,2022,12,10,16
9904.77,10,10,16,16,4,0,2022,11,6,20
28867.05,2,10,1,16,5,0,2023,3,1,17
64.28,10,10,16,16,2,0,2022,10,23,7
20281.29,10,10,16,16,3,0,2023,7,9,13
7488.62,10,10,16,16,0,0,2023,1,15,10
11263.13,10,10,16,16,4,0,2023,6,14,5
10186.52,10,10,16,16,0,0,2023,5,7,21
85.97,10,10,16,16,2,0,2023,4,27,18
802.01,10,10,16,16,4,0,2023,1,2,11
5201.8,10,10,16,16,4,0,2023,1,14,20
5895.9,10,10,16,16,3,0,2023,5,24,2
700.82,10,10,16,16,0,0,2023,6,16,23
9203.86,10,9,16,14,5,0,2023,5,24,20
6875.53,10,10,16,16,0,0,2023,4,26,18
12952.63,2,10,3,16,5,0,2023,6,19,4
24722.6,10,10,16,16,3,0,2023,6,5,10
6416.07,10,10,16,16,6,0,2023,7,9,16
31700.44,10,10,16,16,0,0,2022,12,25,20
828.71,10,10,16,16,0,0,2023,4,13,17
3378.84,10,10,16,16,3,0,2022,10,9,21
1346.73,10,10,16,16,6,0,2022,12,24,21
991.88,10,10,16,16,4,0,2023,7,16,2
8770.84,10,10,16,16,0,0,2023,6,26,19
833.92,10,10,16,16,6,0,2023,7,7,19
4682.9,10,10,16,16,4,0,2023,1,11,22
12681.69,10,10,16,16,3,0,2023,7,19,19
4582.3,10,10,16,16,6,0,2022,10,23,14
6406.92,10,10,16,16,4,0,2023,5,25,21
6471.27,10,10,16,16,4,0,2022,10,18,11
15706.44,10,10,16,16,4,0,2023,2,12,22
